Sr.,Job Start Date,Scrape Sale Qty.,Rate in Rs./Kg.,Amount in Rs.
108,2018-06-28 00:00:00,325,18,5850
109,2018-07-06 00:00:00,595,17,10115
110,2018-07-03 00:00:00,126.7,15,1900.5
111,2018-06-02 00:00:00,274,18,4932
112,2018-06-02 00:00:00,670,20,13400
113,2019-01-31 00:00:00,320,15.5,4960
114,2019-02-17 00:00:00,150,14,2100
115,2019-02-20 00:00:00,590,17,10030
116,2019-03-01 00:00:00,130,13,1690
117,2019-03-09 00:00:00,270,13,3510
118,2018-09-30 00:00:00,305,15,4575
119,2018-10-02 00:00:00,350,14,4900
120,2018-06-25 00:00:00,180,14,2520
121,2018-12-08 00:00:00,715,14,10010
122,2018-08-05 00:00:00,743,12,8916
123,2019-01-26 00:00:00,280,15,4200
124,2019-03-14 00:00:00,510,14,7140
125,2019-03-21 00:00:00,600,15,9000
126,2018-11-03 00:00:00,245,14,3430
127,2018-11-04 00:00:00,245,14,3430
128,2018-04-26 00:00:00,485,14,6790
129,2019-01-22 00:00:00,645,15,9675
130,2018-12-07 00:00:00,1190,16.5,19635
131,2019-01-01 00:00:00,270,15,4050
132,2019-01-07 00:00:00,340,15,5100
133,2019-01-09 00:00:00,180,14,2520
134,2018-05-23 00:00:00,225,13,2925
135,2018-05-28 00:00:00,190,12,2280
136,2018-06-02 00:00:00,1010,14,14140
137,2018-06-13 00:00:00,170,10,1700
138,2019-02-02 00:00:00,420,13,5460
139,2018-09-22 00:00:00,420,10,4200
140,2018-09-29 00:00:00,380,11,4180
141,2019-01-29 00:00:00,590,12,7080
142,2019-01-09 00:00:00,280,10,2800
143,2018-09-20 00:00:00,350,11,3850
144,2018-05-09 00:00:00,710,12.5,8875
145,2018-05-05 00:00:00,210,12.5,2625
146,2018-04-01 00:00:00,548,20,10960
147,2018-12-26 00:00:00,333,18,5994
148,2018-12-31 00:00:00,66.6,15,999
149,2019-01-09 00:00:00,505,17,8585
150,2019-01-12 00:00:00,160,17,2720
151,2018-11-30 00:00:00,345,19,6555
152,2018-12-06 00:00:00,310,15,4650
153,2018-12-09 00:00:00,395,19,7505
154,2018-12-20 00:00:00,245.52,15,3682.8
155,2018-12-22 00:00:00,580,19,11020
156,2019-01-20 00:00:00,1125,20,22500
157,2019-02-02 00:00:00,320,17,5440
158,2019-02-07 00:00:00,340,18,6120
159,2019-02-15 00:00:00,540,17,9180
160,2019-02-17 00:00:00,400,14,5600
161,2018-12-14 00:00:00,310,12,3720
162,2018-12-24 00:00:00,410,13,5330
163,2019-01-02 00:00:00,205,12,2460
164,2019-02-02 00:00:00,445,10,4450
165,2019-02-05 00:00:00,480,12,5760
166,2018-10-13 00:00:00,340,13,4420
167,2018-10-25 00:00:00,395,12,4740
168,2018-10-28 00:00:00,625,13,8125
169,2018-07-17 00:00:00,215,13,2795
170,2019-02-20 00:00:00,250,17,4250
171,2019-02-26 00:00:00,675,18,12150
172,2019-03-05 00:00:00,1220,16,19520
173,2019-03-15 00:00:00,685,19,13015
174,2019-03-14 00:00:00,920,17,15640
175,2019-02-23 00:00:00,260,15.5,4030
176,2019-03-21 00:00:00,1070,19,20330
177,2019-03-26 00:00:00,860,18,15480
178,2019-04-05 00:00:00,440,16,7040
179,2018-04-01 00:00:00,420,17,7140
180,2018-04-09 00:00:00,310,12,3720
181,2018-04-23 00:00:00,550,14,7700
182,2018-05-08 00:00:00,1120,13,14560
183,2018-05-15 00:00:00,995,16,15920
184,2018-05-22 00:00:00,680,18,12240
185,2018-05-27 00:00:00,1140,18,20520
186,2018-06-21 00:00:00,1320,18,23760
187,2018-06-23 00:00:00,990,14,13860
188,2018-07-02 00:00:00,630,17,10710
189,2018-07-08 00:00:00,860,12,10320
190,2018-08-09 00:00:00,415,12,4980
191,2018-08-15 00:00:00,465,15,6975
192,2018-09-20 00:00:00,269,18,4842
193,2018-09-22 00:00:00,288,17,4896
194,2018-10-01 00:00:00,760,15,11400
195,2018-10-13 00:00:00,435,15,6525
196,2018-10-17 00:00:00,1045,15,15675
197,2018-10-27 00:00:00,233,14.055,3274.815
198,2018-10-31 00:00:00,335,14,4690
199,2018-11-23 00:00:00,645,14,9030
200,2018-11-28 00:00:00,620,16,9920
201,2018-12-02 00:00:00,380,13,4940
202,2018-08-17 00:00:00,1040,20,20800
203,2018-08-26 00:00:00,323,16,5168
204,2018-09-30 00:00:00,128,15,1920
205,2018-09-29 00:00:00,256,16.5,4224
206,2018-04-12 00:00:00,1050,16,16800
207,2018-04-21 00:00:00,470,17,7990
208,2018-04-10 00:00:00,305,10,3050
209,2018-08-26 00:00:00,415,11,4565
210,2018-07-14 00:00:00,625,11,6875
211,2018-09-20 00:00:00,440,11,4840
212,2018-08-14 00:00:00,1045,11,11495
213,2018-10-22 00:00:00,110,10.1,1111
214,2018-10-18 00:00:00,550,10,5500
215,2018-05-17 00:00:00,625,14.5,9062.5
216,2018-04-01 00:00:00,450,10,4500
217,2018-08-17 00:00:00,831,13.11672684,10900
218,2019-04-02 00:00:00,670,13,8710
219,2019-04-05 00:00:00,250,10,2500
220,2019-04-19 00:00:00,650,13,8450
221,2019-03-02 00:00:00,1245,17,21165
222,2019-03-16 00:00:00,209,18,3762
223,2019-03-20 00:00:00,1020,19,19380
224,2019-03-24 00:00:00,190,18,3420
225,2019-05-10 00:00:00,300,11,3300
226,2019-03-30 00:00:00,500,20,10000
227,2019-04-20 00:00:00,317,14,4438
228,2019-04-24 00:00:00,970,19,18430
229,2019-04-29 00:00:00,310,14,4340
230,2019-05-01 00:00:00,112,18,2016
231,2018-08-13 00:00:00,605,19,11495
232,2019-04-17 00:00:00,210,15,3150
233,2019-05-08 00:00:00,1360,18,24480
234,2019-05-17 00:00:00,295,16,4720
235,2018-08-17 00:00:00,1040,20,20800
236,2019-05-21 00:00:00,305,19,5795
237,2019-04-30 00:00:00,570,15,8550
238,2019-04-22 00:00:00,805,15,12075
239,2019-06-16 00:00:00,765,16,12240
240,2019-04-09 00:00:00,460,15,6900
241,2019-03-29 00:00:00,640,16,10240
242,2018-09-25 00:00:00,380,14,5320
243,2019-02-06 00:00:00,535,15,8025
244,2019-01-11 00:00:00,570,18,10260
245,2019-01-18 00:00:00,425,16,6800
246,2019-05-22 00:00:00,152,15,2280
247,2019-06-04 00:00:00,135,15,2025
248,2019-06-06 00:00:00,200,15,3000
249,2019-04-11 00:00:00,455,17,7735
250,2019-07-03 00:00:00,310,15,4650
251,2019-07-06 00:00:00,380,15,5700
252,2019-06-27 00:00:00,830,18,14940
253,2019-04-04 00:00:00,210,22,4620
254,2019-06-27 00:00:00,340,16,5440
255,2019-04-11 00:00:00,281,17,4777
256,2019-04-20 00:00:00,385,15,5775
257,2018-11-08 00:00:00,385,15,5775
258,2019-02-20 00:00:00,385,15,5775
259,2019-05-02 00:00:00,385,15,5775
260,2019-07-19 00:00:00,485,14,6790
261,2019-06-27 00:00:00,680,14,9520
262,2019-07-01 00:00:00,405,15,6075
263,2019-03-09 00:00:00,420,10,4200
264,2019-03-09 00:00:00,470,5.5,2585
265,2019-07-13 00:00:00,100,10,1000
266,2019-06-24 00:00:00,650,12,7800
267,2019-07-22 00:00:00,160.5,17,2728.5
268,2019-07-29 00:00:00,880,13,11440
269,2019-08-02 00:00:00,140,12,1680
270,2018-10-01 00:00:00,311,14,4354
271,2019-08-03 00:00:00,185,13,2405
272,2019-08-02 00:00:00,205,15,3075
273,2019-07-31 00:00:00,205,15,3075
274,2019-08-05 00:00:00,205,15,3075
275,2018-09-18 00:00:00,204,15,3060
276,2019-08-13 00:00:00,970,16,15520
277,2019-08-23 00:00:00,300,15,4500
278,2019-07-10 00:00:00,570,15,8550
279,2019-07-13 00:00:00,385,16,6160
280,2019-08-31 00:00:00,575,17,9775
281,2019-09-05 00:00:00,180,17,3060
282,2018-09-21 00:00:00,204,15,3060
283,2019-05-23 00:00:00,280,14,3920
284,2019-06-30 00:00:00,465,14,6510
285,2019-07-30 00:00:00,180,12,2160
286,2019-07-11 00:00:00,570,11,6270
287,2019-07-04 00:00:00,910,13,11830
288,2019-08-07 00:00:00,770,12,9240
289,2019-08-11 00:00:00,140,11,1540
290,2019-08-14 00:00:00,185,13.5,2497.5
291,2019-09-04 00:00:00,136,12,1632
292,2019-09-02 00:00:00,162,13,2106
293,2019-08-30 00:00:00,420,12,5040
294,2019-10-05 00:00:00,365,17,6205
295,2019-09-22 00:00:00,515,13,6695
296,2019-09-08 00:00:00,410,14,5740
297,2019-09-26 00:00:00,350,15,5250
298,2019-07-22 00:00:00,620,16.25,10075
299,2019-07-24 00:00:00,620,16.25,10075
300,2019-10-16 00:00:00,595,12,7140
301,2019-09-25 00:00:00,691,13,8983
302,2019-09-07 00:00:00,160,12,1920
303,2019-10-17 00:00:00,272,12,3264
304,2019-10-21 00:00:00,515,14,7210
305,2019-10-24 00:00:00,155.5,15,2332.5
306,2019-09-16 00:00:00,470,13,6110
307,2019-09-25 00:00:00,458,14,6412
308,2019-10-01 00:00:00,345,10,3450
309,2019-10-08 00:00:00,210,10.5,2205
310,2019-08-30 00:00:00,302,12,3624
311,2019-09-13 00:00:00,450,13,5850
312,2019-10-25 00:00:00,275,13,3575
313,2019-10-27 00:00:00,880,17,14960
314,2019-11-03 00:00:00,95,14,1330
315,2019-11-05 00:00:00,114,14,1596
316,2019-11-13 00:00:00,480,14,6720
317,2018-11-08 00:00:00,570,13,7410
318,2019-12-23 00:00:00,155.62,13,2023.06
319,2019-12-26 00:00:00,280,12,3360
320,2019-11-19 00:00:00,220,12,2640
321,2019-11-26 00:00:00,920,10,9200
322,2019-12-17 00:00:00,750,18,13500
323,2019-11-10 00:00:00,915,13,11895
324,2019-12-19 00:00:00,210,11,2310
325,2019-11-19 00:00:00,290,12,3480
326,2020-01-20 00:00:00,310,13,4030
327,2020-01-14 00:00:00,715,17,12155
328,2020-01-18 00:00:00,361,17,6137
329,2020-01-09 00:00:00,740,10,7400
330,2020-01-13 00:00:00,105,15,1575
331,2020-01-17 00:00:00,945,15,14175
332,2020-02-04 00:00:00,1005,15,15075
333,2020-01-19 00:00:00,850,15,12750
334,2020-01-28 00:00:00,520,16,8320
335,2020-02-01 00:00:00,295,15,4425
336,2020-01-17 00:00:00,87,12,1044
337,2020-02-04 00:00:00,330,15,4950
